
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
08:BD:43:FE:D9:5E, 2016-05-02 20:33:21, 2016-05-02 20:33:21,  6,  54, WPA2, CCMP,PSK, -90,        1,        0,   0.  0.  0.  0,  19, WiFi is tight (2.4), 
D4:EE:07:28:BE:62, 2016-05-02 20:33:21, 2016-05-02 20:33:28,  1,  54, WPA2, CCMP,PSK, -89,        3,        0,   0.  0.  0.  0,   3, LMY, 
EA:B1:FC:5E:EB:5B, 2016-05-02 20:33:18, 2016-05-02 20:33:32,  1,  54, WPA2, CCMP,PSK, -88,        4,        0,   0.  0.  0.  0,  12, LDC_SAP_Q-PC, 
00:0C:E6:A2:9C:44, 2016-05-02 20:33:18, 2016-05-02 20:33:32,  1,  54, WPA2, CCMP, MGT, -86,       26,        0,   0.  0.  0.  0,   7, eduroam, 
00:0C:E6:A2:38:44, 2016-05-02 20:33:20, 2016-05-02 20:33:31, 11,  54, WPA2, CCMP, MGT, -86,        9,        1,   0.  0.  0.  0,  11, IllinoisNet, 
00:0C:E6:A2:01:C0, 2016-05-02 20:33:20, 2016-05-02 20:33:31, 11,  54, WPA2, CCMP,PSK, -86,       11,        0,   0.  0.  0.  0,  19, IllinoisNet_Devices, 
00:0C:E6:A2:70:5E, 2016-05-02 20:33:18, 2016-05-02 20:33:32,  1,  54, WPA2, CCMP,PSK, -87,       46,        0,   0.  0.  0.  0,  19, IllinoisNet_Devices, 
00:0C:E6:A2:D7:05, 2016-05-02 20:33:18, 2016-05-02 20:33:32,  1,  54, OPN, ,   , -87,       34,        0,   0.  0.  0.  0,  17, IllinoisNet_Start, 
00:0C:E6:A2:3B:AF, 2016-05-02 20:33:20, 2016-05-02 20:33:31, 11,  54, WPA2, CCMP, MGT, -86,       12,        0,   0.  0.  0.  0,   7, eduroam, 
00:0C:E6:A2:E0:37, 2016-05-02 20:33:20, 2016-05-02 20:33:31, 11,  54, OPN, ,   , -86,       10,        0,   0.  0.  0.  0,  17, IllinoisNet_Start, 
00:0C:E6:A2:02:A1, 2016-05-02 20:33:18, 2016-05-02 20:33:32,  1,  54, WPA2, CCMP, MGT, -89,       23,        5,   0.  0.  0.  0,  11, IllinoisNet, 
00:0C:E6:A2:E2:CD, 2016-05-02 20:33:18, 2016-05-02 20:33:32,  6,  54, OPN, ,   , -58,       14,      515, 172. 16.203.192,  17, IllinoisNet_Start, 
00:0C:E6:A2:F4:AC, 2016-05-02 20:33:21, 2016-05-02 20:33:31,  6,  54, WPA2, CCMP,PSK, -64,       13,        0,   0.  0.  0.  0,  19, IllinoisNet_Devices, 
00:0C:E6:A2:13:99, 2016-05-02 20:33:18, 2016-05-02 20:33:32,  6,  54, WPA2 OPN, CCMP, MGT, -60,       20,      322,   0.  0.  0.  0,  11, IllinoisNet, 
64:BC:0C:1F:DF:EE, 2016-05-02 20:33:18, 2016-05-02 20:33:32, 11,  54, WPA2, CCMP,PSK, -61,       27,       12,   0.  0.  0.  0,   5, LG G4, 
00:0C:E6:A2:0B:98, 2016-05-02 20:33:21, 2016-05-02 20:33:32,  6,  54, WPA2, CCMP, MGT, -62,       17,        0,   0.  0.  0.  0,   7, eduroam, 
00:25:00:FF:94:73, 2016-05-02 20:33:21, 2016-05-02 20:33:28, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
7E:0C:01:08:AA:58, 2016-05-02 20:33:28, 2016-05-02 20:33:28, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
88:1F:A1:20:BF:DC, 2016-05-02 20:33:25, 2016-05-02 20:33:25, -79,        1, (not associated) ,IllinoisNet
A8:66:7F:0E:6B:74, 2016-05-02 20:33:27, 2016-05-02 20:33:27, -79,       32, (not associated) ,AWG-WiFi,OPD-Guest,NSAWifi,WPATubez
E8:B1:FC:5E:EB:5B, 2016-05-02 20:33:28, 2016-05-02 20:33:28, -79,        4, 00:0C:E6:A2:02:A1,
40:F0:2F:71:3B:56, 2016-05-02 20:33:18, 2016-05-02 20:33:32, -64,      357, 00:0C:E6:A2:E2:CD,
40:E2:30:D9:FB:D9, 2016-05-02 20:33:27, 2016-05-02 20:33:30, -77,        3, 00:0C:E6:A2:13:99,
E8:80:2E:CB:94:C7, 2016-05-02 20:33:18, 2016-05-02 20:33:31, -71,       23, 00:0C:E6:A2:13:99,IllinoisNet
F4:F9:51:2E:36:84, 2016-05-02 20:33:27, 2016-05-02 20:33:27, -75,        3, (not associated) ,
3E:23:77:69:BB:65, 2016-05-02 20:33:21, 2016-05-02 20:33:21, -74,        1, 00:25:00:FF:94:73,
1C:3E:84:62:92:81, 2016-05-02 20:33:28, 2016-05-02 20:33:30, -67,        4, (not associated) ,IllinoisNet
2C:BE:08:C2:F1:C4, 2016-05-02 20:33:21, 2016-05-02 20:33:32, -71,        9, 00:0C:E6:A2:13:99,
28:B2:BD:7E:C7:A5, 2016-05-02 20:33:24, 2016-05-02 20:33:24, -70,        2, 00:0C:E6:A2:13:99,IllinoisNet
60:36:DD:E0:D5:99, 2016-05-02 20:33:21, 2016-05-02 20:33:28, -69,       62, 00:0C:E6:A2:E2:CD,
24:E3:14:92:5B:C9, 2016-05-02 20:33:18, 2016-05-02 20:33:18, -68,        1, (not associated) ,IllinoisNet_Devices
B4:AE:2B:D6:36:E2, 2016-05-02 20:33:18, 2016-05-02 20:33:20, -68,       23, (not associated) ,ST Airport
E0:C7:67:61:16:66, 2016-05-02 20:33:19, 2016-05-02 20:33:19, -68,        4, (not associated) ,IllinoisNet
60:57:18:24:4E:E2, 2016-05-02 20:33:21, 2016-05-02 20:33:21, -68,        1, 00:0C:E6:A2:13:99,
D0:7E:35:28:77:DD, 2016-05-02 20:33:22, 2016-05-02 20:33:22, -68,        1, (not associated) ,
F4:06:69:10:71:6A, 2016-05-02 20:33:27, 2016-05-02 20:33:31, -69,       13, 64:BC:0C:1F:DF:EE,
D4:0B:1A:52:0C:25, 2016-05-02 20:33:22, 2016-05-02 20:33:33, -58,       40, 00:0C:E6:A2:13:99,
50:2E:5C:EB:85:8F, 2016-05-02 20:33:25, 2016-05-02 20:33:25, -67,       11, (not associated) ,
44:6D:57:68:2B:CA, 2016-05-02 20:33:18, 2016-05-02 20:33:31, -56,       13, 00:0C:E6:A2:13:99,
1C:E6:2B:56:05:57, 2016-05-02 20:33:18, 2016-05-02 20:33:18, -66,        2, (not associated) ,
B0:10:41:3B:7B:ED, 2016-05-02 20:33:21, 2016-05-02 20:33:31, -66,       35, 00:0C:E6:A2:E2:CD,
56:26:26:02:DE:74, 2016-05-02 20:33:19, 2016-05-02 20:33:20, -65,        3, (not associated) ,
E0:C7:67:8D:E3:B3, 2016-05-02 20:33:20, 2016-05-02 20:33:28, -64,        9, 00:0C:E6:A2:13:99,IllinoisNet
28:E0:2C:B4:0E:13, 2016-05-02 20:33:21, 2016-05-02 20:33:31, -68,       14, 00:0C:E6:A2:13:99,IllinoisNet
90:18:7C:2C:BB:4B, 2016-05-02 20:33:22, 2016-05-02 20:33:32, -62,        3, 00:0C:E6:A2:13:99,
BC:4C:C4:AB:A6:63, 2016-05-02 20:33:18, 2016-05-02 20:33:29, -63,       52, 00:0C:E6:A2:13:99,IllinoisNet
54:35:30:20:1C:8F, 2016-05-02 20:33:24, 2016-05-02 20:33:31, -63,       16, 00:0C:E6:A2:13:99,
28:47:AA:D0:23:20, 2016-05-02 20:33:28, 2016-05-02 20:33:28, -63,        2, 00:0C:E6:A2:13:99,
78:92:9C:8C:C8:7A, 2016-05-02 20:33:29, 2016-05-02 20:33:29, -63,        4, 00:0C:E6:A2:13:99,IllinoisNet
90:48:9A:4A:A5:17, 2016-05-02 20:33:24, 2016-05-02 20:33:31, -62,       53, 00:0C:E6:A2:13:99,
46:86:98:97:2F:91, 2016-05-02 20:33:22, 2016-05-02 20:33:27, -61,        3, (not associated) ,NSAWifi
8C:29:37:EA:B2:72, 2016-05-02 20:33:21, 2016-05-02 20:33:21, -61,        4, 00:0C:E6:A2:13:99,
A0:91:69:BF:0E:63, 2016-05-02 20:33:19, 2016-05-02 20:33:31, -57,       11, 00:0C:E6:A2:13:99,
AC:7B:A1:94:41:8E, 2016-05-02 20:33:24, 2016-05-02 20:33:32, -61,        2, 00:0C:E6:A2:13:99,
C0:BD:D1:25:E6:91, 2016-05-02 20:33:21, 2016-05-02 20:33:30, -86,       13, 00:0C:E6:A2:13:99,
64:80:99:6B:67:A4, 2016-05-02 20:33:21, 2016-05-02 20:33:31, -63,      129, 00:0C:E6:A2:E2:CD,
18:CF:5E:37:4E:53, 2016-05-02 20:33:18, 2016-05-02 20:33:31, -53,        7, 00:0C:E6:A2:13:99,
6C:71:D9:6B:88:FB, 2016-05-02 20:33:23, 2016-05-02 20:33:28, -58,       37, 00:0C:E6:A2:13:99,Schrodingers_Cat
6C:88:14:A4:5B:80, 2016-05-02 20:33:28, 2016-05-02 20:33:29, -57,       14, (not associated) ,IllinoisNet
48:E2:44:73:2C:68, 2016-05-02 20:33:21, 2016-05-02 20:33:31, -57,      123, 00:0C:E6:A2:13:99,
A4:DB:30:15:69:EA, 2016-05-02 20:33:18, 2016-05-02 20:33:32, -45,       29, 00:0C:E6:A2:13:99,
60:D8:19:C3:B0:31, 2016-05-02 20:33:22, 2016-05-02 20:33:24, -55,       16, 00:0C:E6:A2:13:99,
34:E6:AD:D8:21:9C, 2016-05-02 20:33:24, 2016-05-02 20:33:24, -55,        7, (not associated) ,IllinoisNet
64:9A:BE:D7:5C:27, 2016-05-02 20:33:29, 2016-05-02 20:33:30, -65,        7, (not associated) ,
DC:85:DE:8A:1F:CB, 2016-05-02 20:33:21, 2016-05-02 20:33:32, -54,       20, 00:0C:E6:A2:13:99,
48:D2:24:73:64:1F, 2016-05-02 20:33:25, 2016-05-02 20:33:32, -55,       25, 00:0C:E6:A2:13:99,IllinoisNet
C8:85:50:57:D6:BC, 2016-05-02 20:33:19, 2016-05-02 20:33:31, -46,       15, 00:0C:E6:A2:13:99,IllinoisNet
24:0A:64:62:C0:85, 2016-05-02 20:33:27, 2016-05-02 20:33:31, -52,        3, 00:0C:E6:A2:13:99,
80:86:F2:D4:0A:80, 2016-05-02 20:33:24, 2016-05-02 20:33:30, -54,       11, 00:0C:E6:A2:13:99,
6C:40:08:95:12:52, 2016-05-02 20:33:18, 2016-05-02 20:33:19, -50,        2, (not associated) ,Air-
30:10:B3:1F:8E:C5, 2016-05-02 20:33:18, 2016-05-02 20:33:31, -46,       21, 00:0C:E6:A2:13:99,
2C:D0:5A:6A:68:0A, 2016-05-02 20:33:28, 2016-05-02 20:33:31, -46,       13, 00:0C:E6:A2:13:99,IllinoisNet
DE:2B:16:79:08:81, 2016-05-02 20:33:21, 2016-05-02 20:33:28, -44,        2, 00:25:00:FF:94:73,
54:26:96:DE:17:69, 2016-05-02 20:33:18, 2016-05-02 20:33:32, -50,       14, (not associated) ,IllinoisNet
28:E1:4C:91:42:9E, 2016-05-02 20:33:24, 2016-05-02 20:33:24,  -1,        1, 00:0C:E6:A2:38:44,
30:5A:3A:AF:36:A0, 2016-05-02 20:33:28, 2016-05-02 20:33:28,  -1,        1, 00:0C:E6:A2:38:44,
F4:09:D8:CB:5E:38, 2016-05-02 20:33:30, 2016-05-02 20:33:31, -67,       16, (not associated) ,TORTICAS - guest,WesleyWifi,CableWiFi
18:F6:43:BF:B1:41, 2016-05-02 20:33:31, 2016-05-02 20:33:31, -86,        1, (not associated) ,IllinoisNet
B0:34:95:DD:FE:56, 2016-05-02 20:33:31, 2016-05-02 20:33:31, -89,        1, (not associated) ,IllinoisNet
AC:BC:32:AC:42:AB, 2016-05-02 20:33:31, 2016-05-02 20:33:31, -89,        1, 00:0C:E6:A2:38:44,
A6:2B:59:43:AC:09, 2016-05-02 20:33:31, 2016-05-02 20:33:31, -64,        8, (not associated) ,pretty fly for a wifi
F4:31:C3:1D:83:30, 2016-05-02 20:33:31, 2016-05-02 20:33:31, -85,        1, (not associated) ,IllinoisNet
AC:7B:A1:3B:6E:D8, 2016-05-02 20:33:31, 2016-05-02 20:33:31, -61,        3, 00:0C:E6:A2:13:99,
74:E5:43:DF:38:B7, 2016-05-02 20:33:31, 2016-05-02 20:33:31,  -1,        1, 00:0C:E6:A2:13:99,
18:CF:5E:EA:13:39, 2016-05-02 20:33:31, 2016-05-02 20:33:31,  -1,        1, 00:0C:E6:A2:13:99,
9C:AD:97:99:31:32, 2016-05-02 20:33:32, 2016-05-02 20:33:32, -76,        1, 00:0C:E6:A2:02:A1,
EC:9B:F3:DE:72:71, 2016-05-02 20:33:32, 2016-05-02 20:33:32, -87,        1, 00:0C:E6:A2:02:A1,

